SN,Result,Slot ID,Error code,Fail list,Start time,End time,Waiting for fixture ready,Set LED on,Set LED off,Read step,Read temperature,Show dialog,Read Open/Short,Check Open1 Value,Check Open2 Value,Check Open3 Value,Check Open4 Value,Check Open5 Value,Check Open6 Value,Show dialog,Fixture ready,System error value,Button ON,Verify Arduino version,Read IO13 voltage value,System error value,Verify Arduino version,Read IO13 voltage value,Read step,System error value,Test socketServer,
Up--->,,,,,,,,,,60,40.1,,,,,,,,,,,,,,5.2,,,5.2,60,,,
Low--->,,,,,,,,,,30,32.1,,,100000,100000,100000,100000,100000,100000,,,,,,4.5,,,4.5,30,,,
Unit--->,,,,,,,,,,Sunit,C,,,oHM,oHM,oHM,oHM,oHM,oHM,,,,,,V,,,V,Sunit,,,
14,PASS,Slot-3,,,2019/10/03 10:18:15,2019/10/03 10:18:32,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
11,PASS,Slot-1,,,2019/10/03 10:18:15,2019/10/03 10:18:32,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
13,FAIL,Slot-2,ER_0,Waiting for fixture ready;Set LED on;Set LED off;Read step;Read temperature;,2019/10/03 10:18:15,2019/10/03 10:18:32,,,,,,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
12,FAIL,Slot-0,ER_0,Waiting for fixture ready;Set LED on;Set LED off;Read step;Read temperature;Fixture ready;Verify Arduino version;Read IO13 voltage value;Verify Arduino version;Read step;System error value;,2019/10/03 10:18:15,2019/10/03 10:18:34,,,,,,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,+0;No Error,<Arduino-01-08-02-P>,NA,4.86V*_*,+0;No E,<Arduino-01-08-02-P>,4.86V*_*,5,+0;No Er,,NA,
2,PASS,Slot-1,,,2019/10/03 10:19:07,2019/10/03 10:19:24,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
4,PASS,Slot-3,,,2019/10/03 10:19:07,2019/10/03 10:19:24,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,FAIL,Slot-0,ER_0,Waiting for fixture ready;Set LED on;Set LED off;Read step;Read temperature;,2019/10/03 10:19:07,2019/10/03 10:19:25,,,,,,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
3,FAIL,Slot-2,ER_0,Waiting for fixture ready;Set LED on;Set LED off;Read step;Read temperature;Fixture ready;Verify Arduino version;Read IO13 voltage value;Verify Arduino version;Read step;System error value;,2019/10/03 10:19:07,2019/10/03 10:19:27,,,,,,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,+0;No Error,<Arduino-01-08-02-P>,NA,4.86V*_*,+0;No E,<Arduino-01-08-02-P>,4.86V*_*,5,+0;No Er,,NA,
1,PASS,Slot-2,,,2019/10/03 10:20:19,2019/10/03 10:20:26,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,PASS,Slot-0,,,2019/10/03 10:20:34,2019/10/03 10:20:41,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
2,PASS,Slot-1,,,2019/10/03 10:21:23,2019/10/03 10:21:40,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
4,PASS,Slot-3,,,2019/10/03 10:21:23,2019/10/03 10:21:40,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
3,FAIL,Slot-2,ER_0,Waiting for fixture ready;Set LED on;Set LED off;Read step;Read temperature;,2019/10/03 10:21:23,2019/10/03 10:21:41,,,,,,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,FAIL,Slot-0,ER_0,Waiting for fixture ready;Set LED on;Set LED off;Read step;Read temperature;Fixture ready;Verify Arduino version;Read IO13 voltage value;Verify Arduino version;Read step;System error value;,2019/10/03 10:21:23,2019/10/03 10:21:43,,,,,,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,+0;No Error,<Arduino-01-08-02-P>,NA,4.86V*_*,+0;No E,<Arduino-01-08-02-P>,4.86V*_*,5,+0;No Er,,NA,
1,PASS,Slot-0,,,2019/10/03 10:25:06,2019/10/03 10:25:14,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
3,PASS,Slot-2,,,2019/10/03 10:25:06,2019/10/03 10:25:14,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
4,PASS,Slot-3,,,2019/10/03 10:25:06,2019/10/03 10:25:14,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
2,PASS,Slot-1,,,2019/10/03 10:25:06,2019/10/03 10:25:14,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
11,PASS,Slot-0,,,2019/10/03 10:38:48,2019/10/03 10:38:56,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
33,PASS,Slot-2,,,2019/10/03 10:38:48,2019/10/03 10:38:56,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
22,PASS,Slot-1,,,2019/10/03 10:38:48,2019/10/03 10:38:56,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
44,PASS,Slot-3,,,2019/10/03 10:38:48,2019/10/03 10:38:56,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
2,PASS,Slot-2,,,2019/10/03 10:40:54,2019/10/03 10:41:02,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
3,PASS,Slot-3,,,2019/10/03 10:40:54,2019/10/03 10:41:02,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,PASS,Slot-0,,,2019/10/03 10:40:54,2019/10/03 10:41:02,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
